Country,Pop1955,Pop1960,Pop1965,Pop1970,Pop1975,Pop1980,Pop1985,Pop1990,Pop1995,Pop2000,Pop2005,Group,Cluster,F1950,F1955,F1960,F1965,F1970,F1975,F1980,F1985,F1990,F1995,F2000,F2005,L1950,L1955,L1960,L1965,L1970,L1975,L1980,L1985,L1990,L1995,L2000,L2005
Finland,4234900,4429600,4563732,4606307,4711439,4779535,4901783,4986431,5104654,5168595,5223442,Europe & Central Asia,1,2.997,2.769,2.66,2.191,1.623,1.663,1.685,1.66,1.819,1.743,1.754,1.825,66.55,67.49,68.75,69.83,70.87,72.52,74.55,74.83,75.7,77.13,78.37,79.313
France,43427669,45670000,48763000,50787000,52758427,53869743,55171224,56735161,58149727,59381628,60656178,Europe & Central Asia,1,2.726,2.712,2.85,2.607,2.31,1.862,1.866,1.805,1.713,1.7624,1.8833,1.8916,67.41,68.93,70.51,71.55,72.38,73.83,74.89,76.34,77.46,78.64,79.59,80.657
French Guiana,28483,32243,40035,48291,56261,67762,88828,115930,145082,172605,195506,America,3,5,4.92,5.02,5,4.18,3.3,3.58,3.73,4.05,3.9265,3.6758,3.2715,53.28,56.07,59.38,64.17,65.66,66.47,69.363,71.198,72.757,74.242,75.142,75.875
French Polynesia,71900,81100,94717,114000,133100,150896,175416,201826,226766,249110,270485,East Asia & Pacific,4,6,6.4,6.501,6.199,5.15,4.229,3.815,3.569,3.05,2.6,2.387,2.262,48.863,54.769,56.983,59.191,60.926,62.427,66.234,68.211,70.182,71.821,73.01,74.057
Gabon,428772,446003,474386,514597,647426,713502,832590,937493,1068383,1235484,1394307,Sub-Saharan Africa,2,4,4,4.25,4.5,5,5,5,5,4.5,3.83,3.3883,3.0567,37.003,38.999,40.489,44.598,48.69,52.79,56.564,60.19,61.366,60.461,56.761,56.735
Gambia,306390,351953,411947,484580,570020,670523,790282,949255,1149787,1367884,1595086,Sub-Saharan Africa,2,6.2315,6.4392,6.6469,6.6469,6.6458,6.6083,6.4691,6.1839,5.8848,5.5309,5.1585,4.702,30,32.065,33.896,35.857,38.308,41.842,45.58,49.265,52.644,55.861,58.041,59.448
Georgia,3827154,4146570,4464959,4694491,4897656,5045697,5192957,5426207,5012952,4777209,4677401,Europe & Central Asia,1,3,2.909,2.979,2.611,2.601,2.39,2.269,2.263,1.95,1.58,1.478,1.407,60.616,62.625,64.644,66.654,68.158,69.634,69.638,70.45,70.465,70.49,70.476,70.987
Germany,70195612,72480869,75638851,77783164,78682325,78297904,77684907,79380394,81653702,82187909,82431390,Europe & Central Asia,1,2.16,2.3,2.49,2.32,1.64,1.52,1.46,1.43,1.31,1.34,1.346,1.36,67.5,69.1,70.3,70.8,71,72.5,73.8,74.847,76.07,77.34,78.67,79.406
Ghana,6048606,6958283,8009602,8788945,10118240,11015630,13224725,15399466,17669087,19657719,21946247,Sub-Saharan Africa,2,6.7,6.7,6.7,6.7,6.7,6.65,6.5,6.087,5.455,4.818,4.385,3.837,43.149,44.779,46.452,48.072,49.875,51.756,53.744,55.729,57.501,58.556,58.453,60.022
Greece,7965538,8327405,8550333,8792806,9046542,9642505,9923253,10129603,10457554,10559110,10668354,Europe & Central Asia,1,2.29,2.27,2.2,2.38,2.32,2.32,1.96,1.53,1.37,1.296,1.277,1.325,65.86,67.86,69.51,71,72.34,73.68,75.24,76.67,77.03,77.869,78.256,79.483
Grenada,84621,90148,93290,95410,95819,90164,92203,92360,90603,89312,89502,America,3,5.8,6.7,6.4,4.8,4.6,4.3,4.23,4.14,3.26,2.814,2.429,2.302,62.632,63.114,63.608,64.091,64.577,65.035,65.503,66.002,66.469,66.986,67.746,68.724
Guadeloupe,235385,268888,301565,320657,333418,336846,354125,377678,402359,426493,448713,America,3,5.61,5.61,5.61,5.22,4.49,3.06,2.55,2.45,2.097,2.1,2.059,2.114,56.53,61.57,64.62,65.82,67.76,69.86,72.51,73.58,75.856,77.286,78.405,79.198
Guam,68700,66900,74100,86470,102110,106869,120615,134125,144190,155324,168564,East Asia & Pacific,4,5.527,5.828,6.03,4.724,4.12,3.516,3.08,3.139,3.1,3,2.74,2.539,56.98,59.528,62.118,64.457,66.554,68.354,69.924,71.254,72.511,73.55,74.608,75.507
Guatemala,3433887,3975707,4531949,4950548,5473584,6064228,6917947,8001019,9266312,10625732,12013907,America,3,7,6.6,6.5,6.3,6.2,6.2005,6.1,5.7005,5.45,5.0005,4.6,4.152,42.023,44.142,46.954,50.016,53.738,56.029,58.137,60.782,63.373,66.322,68.978,70.259
Guinea,2786879,3028117,3321330,3661175,4053377,4508009,5327721,6278696,7682082,8638858,9452670,Sub-Saharan Africa,2,6.9955,6.9955,6.9955,6.9955,6.9955,6.9955,6.9955,6.8425,6.4959,6.1566,5.8443,5.436,33.609,34.558,35.753,37.197,38.842,40.762,42.891,45.552,48.576,51.455,53.676,56.007
